"","wk","wk_name","politician_id","profile_url","party_id","party","listenplatz","titel","vorname","nachname","geburtsname","geschlecht","geburtsjahr","ausbildung","wohnort","beruf","aw_fragen","aw_beantwortet"
"1",167,"Waldeck",176832,"https://www.abgeordnetenwatch.de/profile/barbara-meyer-1",15,"MLPD",NA,NA,"Barbara","Meyer",NA,NA,NA,NA,NA,"Erzieherin",NA,NA
"2",167,"Waldeck",176187,"https://www.abgeordnetenwatch.de/profile/kira-hauser",7,"FREIE WÄHLER",NA,NA,"Kira","Hauser","Binder","f",1976,"Diplom-Verwaltungswirtin","Bad Wildungen","Beamtin",NA,NA
"3",167,"Waldeck",176069,"https://www.abgeordnetenwatch.de/profile/daniele-saracino",201,"dieBasis",NA,NA,"Daniele","Saracino",NA,NA,NA,NA,NA,NA,NA,NA
"4",167,"Waldeck",135159,"https://www.abgeordnetenwatch.de/profile/armin-schwarz",2,"CDU",NA,NA,"Armin","Schwarz",NA,"m",1968,"Lehramt Englisch, Politik, Pädagogik",NA,"MdL, Oberstudienrat a.D.",NA,NA
"5",167,"Waldeck",146361,"https://www.abgeordnetenwatch.de/profile/jochen-rube",4,"FDP",NA,NA,"Jochen","Rube",NA,"m",1984,NA,NA,"Lehrer",NA,NA
"6",167,"Waldeck",175524,"https://www.abgeordnetenwatch.de/profile/peter-koswig",5,"Bündnis 90/Die Grünen",NA,NA,"Peter","Koswig",NA,NA,NA,NA,NA,NA,NA,NA
"7",167,"Waldeck",125367,"https://www.abgeordnetenwatch.de/profile/regina-preysing",8,"DIE LINKE",13,NA,"Regina","Preysing",NA,"f",1965,"Diplom Ingenieurin Gerätekonstruktion","Bad Wildungen","Angestellte Medizintechnik Ingenieurin",NA,NA
"8",167,"Waldeck",146823,"https://www.abgeordnetenwatch.de/profile/esther-dilcher",1,"SPD",NA,NA,"Esther","Dilcher",NA,"f",1965,"Juristin",NA,"MdB, Notarin",17,11
"9",168,"Kassel",176833,"https://www.abgeordnetenwatch.de/profile/klaus-bremer-0",15,"MLPD",NA,NA,"Klaus","Bremer",NA,NA,NA,NA,NA,NA,NA,NA
"10",168,"Kassel",176245,"https://www.abgeordnetenwatch.de/profile/michael-scheffler-1",7,"FREIE WÄHLER",NA,NA,"Michael","Scheffler",NA,"m",NA,NA,"Kassel",NA,NA,NA
"11",168,"Kassel",175962,"https://www.abgeordnetenwatch.de/profile/sibylle-johst",9,"AfD",NA,NA,"Sibylle","Johst",NA,NA,NA,NA,NA,NA,NA,NA
